,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist;
"10,Persona 5 Royal,""Oct 31, 2019"",""['Atlus USA', 'Atlus']"",4.4,2.7K,2.7K,""['Adventure', 'RPG', 'Turn Based Strategy']"",An enhanced version of Persona 5 with some new characters and a third semester added to the game. Released Internationally in 2020.,""['Verdadeiro goty 2017, zelda é o caralho. Vai tomar no cu, Ryuji', """"This game is great, and to many people this is probably one of the greatest JRPGs if not, overall game of all time. I see that 100%, but I personally have my nitpicks with it, such as:\n                     \n                     -The pacing of the game\n                     \n                     -The fact it only gets good 30-40 hours into the game\n                     \n                     -The fact that essential, strategic, and most importantly, fun mechanics are locked behind confidants such as switching your party mid-battle\n                     \n                     -The lack of freedom to do what you want\n                     \n                     -Similar to SMT IV/IV:A (and maybe other SMT/Persona games, idk) they sell DLC for super powerful personas. In SMTIV at least, these were entirely optional and you had to purchase them. In Persona 5 Royal, they included the DLC, which again, I could ignore if they are optional, but I can't. Unlike in pervious games, there are legitimate fusions using legitimate personas that allow you to straight-up just get these P2W personas naturally, which I absolute fathom and throws the balance of the game out the window.\n                     \n                     -And more importantly, the entirety of Kasumi's character pre-third semester (I want to punch her)"""", 'Vanilla was my first persona and smt game. Kinda feels like coming home whenever i play it', 'If you have a spare 100 hours lying around do this, was pretty good (4 better tho)', 'i love goro akechi', """"Played like 50 hrs, I guess finished half or two-thirds of it? Cannot say I didn't like Persona 5 at all but this sort of infantile fleur around the characters and situations got me at last. I played some SMT games and they seemed much more sophisticated and thoughtful (especially the 4th). However, I cannot say that Persona 5 is a bad game, although my experience with it was a bit rough. I had this state of waiting for something, like 5-10 hours more, and something incredible would happen for sure, characters pull off some weird moves and the real Persona (the one everyone is so hyped up about) would begin... Never happened. Might finish it sometime later tho, whenever vibes come back.""""]"",12K,2.3K,5.1K,3K";
"11,Stray,""Jul 19, 2022"",""['BlueTwelve Studio', 'Annapurna Interactive']"",3.7,1.5K,1.5K,""['Adventure', 'Indie']"",""Lost, alone, and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten cybercity and find the way home."",""['Press B to Meow', 'like, nya?', 'You are a cat, thats all.', 'There’s no way an orange cat could be this smart', 'JOGO DO BK', 'CAT CAT CAT CAT CAT CAT CAT']"",7.7K,801,2.5K,3.4K";
"12,God of War,""Apr 20, 2018"",""['Sony Interactive Entertainment', 'SIE Santa Monica Studio']"",4.2,2.9K,2.9K,""['Adventure', 'Brawler', 'RPG']"",""God of War is the sequel to God of War III as well as a continuation of the canon God of War chronology. Unlike previous installments, this game focuses on Norse mythology and follows an older and more seasoned Kratos and his son Atreus in the years since the third game. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same."",""['freya te vejo como figura materna', 'i ruv !', 'One of the greatest games i have ever played.', 'Whenever I think about this game epic Norse music plays in my head', 'God Of War is a game that understands its audience. Kratos is now as tired and old as all of us who played the original games back on the PS2.', 'One of the best games of the Ps4 generation, that game changes the style of GOW saga, and It hits in the middle of the target...It s a master piece. The story s deep, imersive, and the world of that GOW s so Vivid and Beautiful. I m not sure If the New gameplay s an upgrade, but It s enjoyable.\n                     \n                     9,6']"",21K,1.1K,4.8K,2.6K";
"13,Portal 2,""Apr 18, 2011"",""['Valve', 'Electronic Arts']"",4.4,2.9K,2.9K,""['Adventure', 'Platform', 'Puzzle', 'Shooter']"",""Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs."",""['This is my fav game of all time, everything about it is amazing', 'soy muy tonto, scar tissue como dicen los chavales de ahora', 'nostalgia', 'Thought Portal was good? This game is beyond that. This game adds a full narrative with characters, and I guarantee hearing banter between Wheatley, Glad0s, and Cave Johnson (J.K. Simmons!!!) Is far better than anything heard today.', 'Juegarral. Me encanta como extiende el lore de Aperture laboratories. Puzles buenisimos y de los mejores cooperativos', """"Top 20 games ever. This game made realize i love puzzle games (even if I'm bad at them)""""]"",29K,471,3.9K,1.2K";
"14,Bloodborne,""Mar 24, 2015"",""['FromSoftware', 'Sony Computer Entertainment']"",4.5,3.4K,3.4K,""['Adventure', 'RPG']"",""An action RPG in which the player embodies a Hunter who, after being transfused with the mysterious blood local to the city of Yharnam, sets off into a """"night of the Hunt"""", an extended night in which Hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and, for the more resilient and insightful Hunters, uncover the answers to the Hunt's many mysteries."",""[""""I'm not trying to brag, but Bloodborne wasn't much of a challenge for me. The beginning was a little hard, since Bloodborne's mechanics are quite different compared to the Dark Souls trilogy, but a few tries and deaths are enough for someone to get used to the way you play."""", 'My favourite in the Soulsborne series.', 'I have a very conflicting opinion of this game that may require me to go back for another playthrough.', 'brilliant, incredible, amazing, show stopping, spectacular.', 'Perfect', 'The Greatest Game Of All Time.']"",17K,1.1K,5.6K,3.3K";
"15,Celeste,""Jan 25, 2018"",""['Extremely OK Games', 'Maddy Makes Games']"",4.2,2.8K,2.8K,""['Adventure', 'Indie', 'Platform']"",""Help Madeline survive her inner demons on her journey to the top of Celeste Mountain, in this super-tight platformer from the creators of TowerFall. Brave hundreds of hand-crafted challenges, uncover devious secrets, and piece together the mystery of the mountain."",""['video games.', 'My absolute favorite platformer', 'im bad at platforming', 'Muito maneiro, personagens cativantes e o pós-jogo chega muitas vezes até a ser mais divertido (para quem gosta de desafio)', 'one of the, imo, best gaming experiences you can find to this day, the dialouge is adorable and heartfelt, the music is utterly stunning, and the gameplay and level design is that perfect mix of challenging and fun where you sit there for hours just wanting to complete that one jump, doing it over and over, and when you do complete it, you feel so proud of yourself', 'i """"beat"""" the game...']"",20K,1.2K,5.9K,2K";
"16,Yakuza 0,""Mar 12, 2015"",""['Ryū Ga Gotoku Studios', 'Sega']"",4.4,2.7K,2.7K,""['Adventure', 'Brawler', 'RPG', 'Simulator']"",""The glitz, glamour, and unbridled decadence of the 80s are back! Yakuza 0 is a prequel set in 1988 to the Yakuza series, taking place before the first game. Fight like hell through Tokyo and Osaka with protagonist Kazuma Kiryu and series regular Goro Majima. Play as Kazuma Kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. Then, step into the silver-toed shoes of Goro Majima and explore his “normal” life as the proprietor of a cabaret club."",""['THIS IS PEAK IT IS ONE OF MY FAVORITE GAMES ITS SO GOOD NOT ONLY IS THE STORY AMAZING BUT SIDE CONTENT MAKES THE GAME FEEL LIKE A REAL WORLD', 'Simply.......Yakuza 0', 'yan görev sunumları rezalet', 'I wish Japan was real', """"Super enjoyed this game, loved the story and the characters, and the entire vibe of it. The combat didn't super click with me, but i still had fun beating up enemies and even more fun beating up story characters"""", 'This game got me back into playing single-player games and I am eternally grateful for that.']"",15K,1.8K,6.4K,2K";
"17,Red Dead Redemption 2,""Oct 26, 2018"",""['Take-Two Interactive', 'Rockstar Games']"",4.4,2.9K,2.9K,""['Adventure', 'RPG', 'Shooter']"",""Red Dead Redemption 2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age."",""['overrated as fuck', 'I wanna be a cowwwboyyyy, baby...', 'shoutout rockstar', 'Sacrifices fun for the sake of realism', 'First playthrough was an incredible experience.', 'Dutch has a plan']"",19K,1.7K,5.5K,2.9K";
"18,Portal,""Oct 10, 2007"",""['Valve', 'Electronic Arts']"",4.1,2K,2K,""['Platform', 'Puzzle', 'Shooter']"",""Waking up in a seemingly empty laboratory, the player is made to complete various physics-based puzzle challenges through numerous test chambers in order to test out the new Aperture Science Handheld Portal Device, without an explanation as to how, why or by whom."",""['did somebody say CLASSSSICCCC', """"Portal's desolate labs with mind-bending puzzles are unforgettable. The concept of portals themselves are strange, but put into gameplay loops really force you to think (with portals)."""", """"genuinely fun puzzle game that makes me realize my IQ is in fact negative, but that won't stop me from drinking all of the poison goo. what's it gonna do? block my path now? i already drank it all."""", 'there’s cake at the end!', 'im ngl i got stuck like at least 5 times', 'Why do both portal games end in a song']"",28K,244,2.7K,1.1K";
"19,Super Mario Odyssey,""Oct 27, 2017"",['Nintendo'],4.2,2.9K,2.9K,""['Adventure', 'Platform']"",""Explore incredible places far from the Mushroom Kingdom as you join Mario and his new ally Cappy on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser’s wedding plans!"",""[""""A really great game, just didn't stick out as much as it's predecessor 64"""", 'Inspiring how Mario can feel so fresh and original after so many years.', 'i played this game SO many times i dont ever wanna touch it again', 'I mean objectively the best Mario game I just like Galaxy more', 'Yeah, Mario games HIT', 'The first 3D Mario game I have truly loved and completed 100%. The near-perfection of an already glorious formula.']"",25K,710,2.9K,2K";
"20,Pokémon Legends: Arceus,""Jan 28, 2022"",""['Nintendo', 'Game Freak']"",3.7,1.6K,1.6K,""['Adventure', 'RPG', 'Turn Based Strategy']"",""The Pokémon Legends: Arceus game honors past Pokémon games’ core gameplay while infusing new action and RPG elements.";
             ;
;
"              You’ll need to catch, survey, and research wild Pokémon in a long-gone era of the Sinnoh region to create and complete the region’s first Pokédex."",""['The more mature story (by recent Pokémon standards) , lore ramifications for sinnoh , and the amazing real time catch mechanics make this game one of the best Pokémon games ever easily ";"though a good Pokémon is still far from being a good video game generally speaking . The textures are muddy , the levels especially alabaster Icelands and cobalt coastlands feel janky and overly linear despite the game encouraging more mobile movement and freedom , and of course the lack of meaningful presentation through stiff character animations and lack of voice acting hurt this game alot. I still feel like Pokémon gameplay has peaked here but they just don’t let these games cook long enough and only get away with it because Pokémon fans only play Pokémon and don’t branch out to know what’s actually good', 'Really refreshing take on the series, just a little empty overall.', """"Great game! but it would be better if there was voice acting and no sudden cutscenes every 2 seconds. And it gets pretty bad as you play it. But if you're finding a good first Pokemon game, I would recommend it tho!"""", 'Aside from obvious performance issues, this was easily the most fun ive had with the Pokemon series since the release of Black/White. i hope we get a follow up game in the future that focuses on the unova region and kyurem', """"Put me in feudal japan with an Iphone and I probably wouldn't get as far as I did here"""", 'PLA: the best Pokémon game I’ve ever played and why I’ll (probably) never play another Pokémon game in my life']"",9.1K,1.6K,2.5K,2.1K"
"21,Hi-Fi Rush,""Jan 25, 2023"",""['Tango Gameworks', 'Bethesda Softworks']"",4.3,926,926,""['Adventure', 'Brawler', 'Music', 'Platform']"",""As wannabe rockstar Chai, you’ll fight back against a sinister robotics enhancement conglomerate using rhythm-amplified combat where everything – from the motion in the environment to the blows of combat – is synced to the music."",""['It was a great game all round ending felt a little rushed', 'Música', 'Bardzo przyjemny gameplay, aż noga sama wybija rytm. Świetny humor krytykujący korporacje i korpożycię.', 'A whole lot of soul put into this game, forgot how much I really loved hack and slash and especially a rhythm musical at the top of it makes it extremely fun, was a pretty cool story with a fun cast. Overall a banger of a game and definitely favorites of the year.', 'isso aqui é um ABSURDO', 'This game came out of no where and I felt like it hit me like a sucker punch from a professional boxer. I always have a soft spot for a good rhythm game and Hi-Fi Rush hits that spot just right.']"",3K,866,1.5K,2K";
"22,Metal Gear Rising: Revengeance,""Feb 19, 2013"",""['Konami', 'PlatinumGames']"",4.1,2.1K,2.1K,""['Adventure', 'Brawler', 'Shooter', 'Strategy']"",""Developed by Kojima Productions and PlatinumGames, Metal Gear Rising: Revengeance takes the renowned Metal Gear franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden – a child soldier transformed into a half-human, half-cyborg ninja who uses his High Frequency katana blade to cut through any thing that stands in his vengeful path!";
             ;
;
              A huge success on both Xbox 360 and PlayStation3, Metal Gear Rising: Revengeance comes to PC with all the famed moves and action running within a beautifully-realized HD environment.;
             ;
;
              This new PC version includes all three DLC missions: Blade Wolf, Jetstream, and VR Missions, in addition to all customized body upgrades for Raiden, including: White Armor, Inferno Armor, Commando Armor, Raiden’s MGS4 body, and the ever-popular Cyborg Ninja.;
             ;
;
"              """"CUTSCENES"""" option added to the Main Menu. Play any and all cutscenes.";
             ;
;
"              """"CODECS"""" option added to the Main Menu. Play all and any codec conversation scenes.";
             ;
;
              Menu option added to the CHAPTER Menu enabling user to play only the Boss battles.;
             ;
;
"              """"GRAPHIC OPTIONS"""" added to the OPTIONS Menu. Modify resolution, anti-aliasing, etc.";
              ;
"              There is an option reading """"ZANGEKI"""" that will modify the amount of cuts you can make."",""['This game is so jank but so entertaining', 'RULES OF NATURE', 'Metal Gear Rising: Revengeance Review - Memes, Raiden. Memes.', 'Quando ganhei meu Xbox 360 em 2014 esse jogo veio junto e meu Deus, eu joguei essa bagaça minha vida inteira e ainda jogo até hoje. Lembro de na época ninguém gostar tanto do jogo principalmente por fugir muito do resto da franquia mas mano é um spin off tá ligado? Sei que é meio chato ver sua franquia mudando mas a maestria que esse jogo faz junto com a continuação da história do Raiden (que já era um personagem não muito gostado e mais um motivo pra não gostarem do jogo) faz ele ser um dos jogos mais importantes pra mim. Espero um dia platinar mas se eu não consegui em 9 anos acho difícil.', 'brasileiros dão pulo duplo', 'Feel like I would have enjoyed this game much more if hack n slash was my kind of game']"",14K,492,4.2K,2K";
